,University,Job Details,URL
0,University of Hong Kong,"Research Assistant I/II
Apply now
Ref.: 515614
Work type: Full-time
Department: Centre for Advancement of Chinese Language Education and Research within the Faculty of Education (10088)
Categories: Research Support Staff
Research Assistant I/II (several posts) in the Centre for Advancement of Chinese Language Education and Research (CACLER) within the Faculty of Education (Ref.: 515614) (to commence as soon as possible for one year, with the possibility of renewal) 
Applicants should possess a Bachelor's degree in Psychology, Education, or a related discipline, with one year’s work experience, preferably in conducting educational research. They should have a good command of written and spoken English and Chinese (Cantonese and Mandarin), familiarity with qualitative or quantitative analysis and good interpersonal and organizational skills. Experience in managing social media (such as Facebook, Instagram, Twitter) will be an advantage.
The appointees will provide assistance for our school-support projects. They will review literature, collect and compile data, organize project activities, write, edit and proofread materials and web content, coordinate the publication of the handbook, liaise with project team to develop website, cultivate and manage online communities, assist the Project Investigator to manage project expenses, manage the inventory of project equipment, provide secretarial and research support, and perform other duties as assigned.
Applicants who have responded to the previous advertisement (Ref.: 515100) need not re-apply.
A highly competitive salary commensurate with qualifications and experience will be offered, in addition to annual leave and medical benefits.
The University only accepts online application for the above posts. Applicants should apply online and upload an up-to-date C.V. Review of applications will commence as soon as possible and continue until July 28, 2022 or until the posts are filled, whichever is earlier.
Advertised:Jun 30, 2022 (HK Time)
Applications close:Jul 28, 2022 (HK Time)
Back to search results Apply now
Share this:
|
More",https://jobs.hku.hk/cw/en/job/515614/research-assistant-iii
1,University of Hong Kong,"Research Assistant I (holding the functional title of Data Analyst)
Apply now
Ref.: 515332
Work type: Full-time
Department: Technology-Enriched Learning Initiative (46600)
Categories: Research Support Staff
Research Assistant I (holding the functional title of Data Analyst) in the Technology-Enriched Learning Initiative (TELI) (Ref.: 515332) (to commence as soon as possible for one year)
Applicants should possess a Master’s degree or above in Computer Science, Educational Technology, Information Technology, or a related discipline. They should have a good command of written and spoken English and Chinese; good research and analytical skills, preferably with experience in data modeling and visualization skills (Python, R, etc) and natural language processing; good interpersonal and organisational skills; and the ability to work within a multidisciplinary team.
The appointee will work for a cross-university teaching development project on building a collaborative platform for enhancing artificial intelligence applications in education. He/She will be responsible for developing learning analytic tools to support offline classifications of courses in universities in Hong Kong; collecting and analysing evaluation data at various stages of the project; performing literature review; supporting the writing of project reports and research reports; and performing other duties as assigned.
A highly competitive salary commensurate with qualifications and experience will be offered, in addition to annual leave and medical benefits.
The University only accepts online applications for the above posts. Applicants should apply online and upload an up-to-date C.V. Review of applications will commence as soon as possible and continue until July 31, 2022, or until the posts are filled, whichever is earlier.
Advertised:Jun 30, 2022 (HK Time)
Applications close:Jul 31, 2022 (HK Time)
Back to search results Apply now
Share this:
|
More",https://jobs.hku.hk/cw/en/job/515332/research-assistant-i-holding-the-functional-title-of-data-analyst
2,University of Hong Kong,"Research Assistant I/II (several posts)
Apply now
Ref.: 515572
Work type: Full-time
Department: School of Public Health (22400)
Categories: Research Support Staff
Research assistant I/II (several posts) in the HKU-Pasteur Research Pole of the School of Public Health (Ref.: 515572) (to commence as soon as possible for one year, with the possibility of renewal subject to satisfactory performance). 
Applicants should possess a Bachelor’s degree or above in science, biology, medical sciences or related disciplines, preferably majoring in immunology or virology. They should have a good command of written and spoken English and a strong sense of responsibility. They should be attentive to details, and able to work independently. Experience in laboratory work, human blood processing, cell culture, serological assays and flow cytometry would be advantageous. The appointees will support ongoing long-term cohort studies of influenza and SARS-CoV-2 research. He/She will handle samples, provide technical support in the laboratory, maintain inventory records, and perform day-to-day administrative duties and other duties as assigned. Enquiries about the duties of the posts should be sent to kpra@hku.hk.
A highly competitive salary commensurate with qualifications and experience will be offered, in addition to annual leave and medical benefits.
The University only accepts online application for the above post. Applicants should apply online and upload a cover letter, an up-to-date C.V. and the contact details of two referees.  Review of applications will start on July 12, 2022 and continue September 30, 2022, or until the post is filled, whichever is earlier.
Advertised:Jun 28, 2022 (HK Time)
Applications close:Sep 30, 2022 (HK Time)
Back to search results Apply now
Share this:
|
More",https://jobs.hku.hk/cw/en/job/515572/research-assistant-iii-several-posts
3,University of Hong Kong,"Research Assistant I/II in the Department of Diagnostic Radiology
Apply now
Ref.: 515543
Work type: Full-time
Department: Department of Diagnostic Radiology, School of Clinical Medicine (20500)
Categories: Research Support Staff
Research Assistant I/II in the Department of Diagnostic Radiology (Ref.: 515543) (to commence as soon as possible for one year, with the possibility of renewal subject to funding availability and satisfactory performance)
Applicants should possess a Bachelor’s degree in Biological/Biomedical Sciences, Medicine or a related discipline.  Experience in medical research, particularly in medical imaging or cardiology would be highly desirable.  They should have proficiency in written and spoken English and Chinese (including Cantonese and Mandarin), good organisational skills, a willingness to learn new skills, and the ability to handle multiple tasks in a collaborative team environment.  The appointee will participate in imaging research projects.  He/She will be responsible for the application of cardiac MRI and cardiac CT, patient liaison, data collection, imaging analysis and clinical data retrieval.
A highly competitive salary commensurate with qualifications and experience will be offered, in addition to annual leave and medical benefits.
The University only accepts online application for the above post.  Applicants should apply online and upload an up-to-date C.V with a personal statement and research interest.  Review of applications will start from 4 July 2022 and continue until 26 September 2022 or until the post is filled, whichever is earlier.
Advertised:Jun 27, 2022 (HK Time)
Applications close:Sep 26, 2022 (HK Time)
Back to search results Apply now
Share this:
|
More",https://jobs.hku.hk/cw/en/job/515543/research-assistant-iii-in-the-department-of-diagnostic-radiology
4,University of Hong Kong,"Research Assistant I/II in the Department of Diagnostic Radiology, School of Clinical Medicine
Apply now
Ref.: 515384
Work type: Full-time
Department: Department of Diagnostic Radiology, School of Clinical Medicine (20500)
Categories: Research Support Staff
Research Assistant I/II in the Department of Diagnostic Radiology, School of Clinical Medicine (Ref.: 515384) (to commence as soon as possible, on a two-year fixed-term basis with contract-end gratuity and University contribution to a retirement benefits scheme, totalling up to 10% of basic salary, with the possibility of renewal)
Applicants should have a Bachelor's degree in Biomedical Engineering, Electronics Engineering, Computer Science, Mathematics, Statistics, Mechanical Engineering, or related disciplines.  The appointee will develop a deep learning pipeline for prostate MRI diagnosis. The post will focus on the python coding for implementing the deep learning pipeline with a target to develop a new diagnostic tool for prostate cancer.  Enquiries about the post can be sent to Dr. Cao Peng at caopeng1@hku.hk.
A highly competitive salary commensurate with qualifications and experience will be offered, in addition to annual leave and medical benefits.
The University only accepts online application for the above post.  Applicants should apply online and upload an up-to-date C.V., preferably with an academic transcript.  Review of applications will start from (2 weeks from posting) and continue until 23 July 2022 or until the post is filled, whichever is earlier.
Advertised:Jun 24, 2022 (HK Time)
Applications close:Jul 23, 2022 (HK Time)
Back to search results Apply now
Share this:
|
More",https://jobs.hku.hk/cw/en/job/515384/research-assistant-iii-in-the-department-of-diagnostic-radiology-school-of-clinical-medicine
5,University of Hong Kong,"Research Assistant II/Technical Assistant in the Division of Spine Surgery
Apply now
Ref.: 515533
Work type: Full-time
Department: Department of Orthopaedics and Traumatology, School of Clinical Medicine (21000)
Categories: Research Support Staff
Applications are invited for appointment as Research Assistant II/Technical Assistant in the Division of Spine Surgery of the Department of Orthopaedics and Traumatology, School of Clinical Medicine (Ref.: 515533), to commence as soon as possible for one year, with the possibility of renewal subject to satisfactory performance.
Applicants should possess a Bachelor’s degree or above, with relevant experience in biomedical sciences, medicine, or nursing.  They should have a good command of written and spoken English and Chinese (Cantonese is essential) as well as excellent communication skills.  They should be responsible, mature, organized, and attentive to details.  Proficiency in clinical research work is required and experience in phlebotomy is preferred.  Those with lower qualifications or less experience may be considered for Technical Assistant.
The appointee will organize and carry out clinical research projects in clinical areas of both Queen Mary Hospital and Duchess of Kent Children’s Hospital.  He/She will handle blood or tissue samples, process and analyze data, prepare research reports, provide administrative and research support to the Principal Investigator, and perform other duties as assigned. Those who have responded to the previous advertisement (Ref.: 515016) need not re-apply.
A highly competitive salary commensurate with qualifications and experience will be offered, in addition to annual leave and medical benefits. 
The University only accepts online application for the above post.  Applicants should apply online and upload an up-to-date C.V.  Closes July 27, 2022.
Advertised:Jun 23, 2022 (HK Time)
Applications close:Jul 27, 2022 (HK Time)
Back to search results Apply now
Share this:
|
More",https://jobs.hku.hk/cw/en/job/515533/research-assistant-iitechnical-assistant-in-the-division-of-spine-surgery
6,University of Hong Kong,"Research Assistant I/II in the Division of Respiratory Medicine
Apply now
Ref.: 515483
Work type: Full-time
Department: Department of Medicine, School of Clinical Medicine (20600)
Categories: Research Support Staff
Research Assistant I/II in the Division of Respiratory Medicine of the Department of Medicine, School of Clinical Medicine (Ref.: 515483) (to commence as soon as possible for one year, with the possibility of renewal)
Applicants should possess a Bachelor’s degree or above in Biomedical Sciences or related disciplines.  They should have a good command of Chinese and English, and experience in clinical and translational research.  Knowledge of biostatistics and bioinformatics would be an advantage.
The appointee will handle clinical specimens and conduct research experiments, including cell culture and animal experiments, and molecular biology experiments.  
A highly competitive salary commensurate with qualifications and experience will be offered, in addition to annual leave and medical benefits.
Those who have responded to the previous advertisement (Ref.: 512451) need not re-apply.
The University only accepts online application for the above post.  Applicants should apply online and upload an up-to-date C.V.  Review of applications will start as soon as possible and continue until August 22, 2022, or until the post is filled, whichever is earlier.
Advertised:Jun 23, 2022 (HK Time)
Applications close:Aug 22, 2022 (HK Time)
Back to search results Apply now
Share this:
|
More",https://jobs.hku.hk/cw/en/job/515483/research-assistant-iii-in-the-division-of-respiratory-medicine
7,University of Hong Kong,"Research Assistant I/II
Apply now
Ref.: 515614
Work type: Full-time
Department: Centre for Advancement of Chinese Language Education and Research within the Faculty of Education (10088)
Categories: Research Support Staff
Research Assistant I/II (several posts) in the Centre for Advancement of Chinese Language Education and Research (CACLER) within the Faculty of Education (Ref.: 515614) (to commence as soon as possible for one year, with the possibility of renewal) 
Applicants should possess a Bachelor's degree in Psychology, Education, or a related discipline, with one year’s work experience, preferably in conducting educational research. They should have a good command of written and spoken English and Chinese (Cantonese and Mandarin), familiarity with qualitative or quantitative analysis and good interpersonal and organizational skills. Experience in managing social media (such as Facebook, Instagram, Twitter) will be an advantage.
The appointees will provide assistance for our school-support projects. They will review literature, collect and compile data, organize project activities, write, edit and proofread materials and web content, coordinate the publication of the handbook, liaise with project team to develop website, cultivate and manage online communities, assist the Project Investigator to manage project expenses, manage the inventory of project equipment, provide secretarial and research support, and perform other duties as assigned.
Applicants who have responded to the previous advertisement (Ref.: 515100) need not re-apply.
A highly competitive salary commensurate with qualifications and experience will be offered, in addition to annual leave and medical benefits.
The University only accepts online application for the above posts. Applicants should apply online and upload an up-to-date C.V. Review of applications will commence as soon as possible and continue until July 28, 2022 or until the posts are filled, whichever is earlier.
Advertised:Jun 30, 2022 (HK Time)
Applications close:Jul 28, 2022 (HK Time)
Back to search results Apply now
Share this:
|
More",https://jobs.hku.hk/cw/en/job/515614/research-assistant-iii
8,University of Hong Kong,"Research Assistant I (holding the functional title of Data Analyst)
Apply now
Ref.: 515332
Work type: Full-time
Department: Technology-Enriched Learning Initiative (46600)
Categories: Research Support Staff
Research Assistant I (holding the functional title of Data Analyst) in the Technology-Enriched Learning Initiative (TELI) (Ref.: 515332) (to commence as soon as possible for one year)
Applicants should possess a Master’s degree or above in Computer Science, Educational Technology, Information Technology, or a related discipline. They should have a good command of written and spoken English and Chinese; good research and analytical skills, preferably with experience in data modeling and visualization skills (Python, R, etc) and natural language processing; good interpersonal and organisational skills; and the ability to work within a multidisciplinary team.
The appointee will work for a cross-university teaching development project on building a collaborative platform for enhancing artificial intelligence applications in education. He/She will be responsible for developing learning analytic tools to support offline classifications of courses in universities in Hong Kong; collecting and analysing evaluation data at various stages of the project; performing literature review; supporting the writing of project reports and research reports; and performing other duties as assigned.
A highly competitive salary commensurate with qualifications and experience will be offered, in addition to annual leave and medical benefits.
The University only accepts online applications for the above posts. Applicants should apply online and upload an up-to-date C.V. Review of applications will commence as soon as possible and continue until July 31, 2022, or until the posts are filled, whichever is earlier.
Advertised:Jun 30, 2022 (HK Time)
Applications close:Jul 31, 2022 (HK Time)
Back to search results Apply now
Share this:
|
More",https://jobs.hku.hk/cw/en/job/515332/research-assistant-i-holding-the-functional-title-of-data-analyst
9,University of Hong Kong,"Research Assistant I/II (several posts)
Apply now
Ref.: 515572
Work type: Full-time
Department: School of Public Health (22400)
Categories: Research Support Staff
Research assistant I/II (several posts) in the HKU-Pasteur Research Pole of the School of Public Health (Ref.: 515572) (to commence as soon as possible for one year, with the possibility of renewal subject to satisfactory performance). 
Applicants should possess a Bachelor’s degree or above in science, biology, medical sciences or related disciplines, preferably majoring in immunology or virology. They should have a good command of written and spoken English and a strong sense of responsibility. They should be attentive to details, and able to work independently. Experience in laboratory work, human blood processing, cell culture, serological assays and flow cytometry would be advantageous. The appointees will support ongoing long-term cohort studies of influenza and SARS-CoV-2 research. He/She will handle samples, provide technical support in the laboratory, maintain inventory records, and perform day-to-day administrative duties and other duties as assigned. Enquiries about the duties of the posts should be sent to kpra@hku.hk.
A highly competitive salary commensurate with qualifications and experience will be offered, in addition to annual leave and medical benefits.
The University only accepts online application for the above post. Applicants should apply online and upload a cover letter, an up-to-date C.V. and the contact details of two referees.  Review of applications will start on July 12, 2022 and continue September 30, 2022, or until the post is filled, whichever is earlier.
Advertised:Jun 28, 2022 (HK Time)
Applications close:Sep 30, 2022 (HK Time)
Back to search results Apply now
Share this:
|
More",https://jobs.hku.hk/cw/en/job/515572/research-assistant-iii-several-posts
